fcm,subject,period,treatment,sequence,sequence index,block
38.7,1,1,A,ADC,3,1
48.9,1,2,D,ADC,3,1
35.2,1,3,C,ADC,3,1
37.4,2,1,D,DCA,12,1
46.9,2,2,C,DCA,12,1
33.5,2,3,A,DCA,12,1
34.3,3,1,C,CAD,7,1
42,3,2,A,CAD,7,1
28.4,3,3,D,CAD,7,1
34.6,4,1,A,ACB,2,2
32.9,4,2,C,ACB,2,2
30.4,4,3,B,ACB,2,2
32.3,5,1,C,CBA,8,2
33.1,5,2,B,CBA,8,2
29.5,5,3,A,CBA,8,2
28.5,6,1,B,BAC,4,2
27.5,6,2,A,BAC,4,2
26.7,6,3,C,BAC,4,2
25.7,7,1,C,CDB,9,3
30.8,7,2,D,CDB,9,3
25.4,7,3,B,CDB,9,3
26.1,8,1,D,DBC,11,3
29.3,8,2,B,DBC,11,3
26,8,3,C,DBC,11,3
23.4,9,1,B,BCD,5,3
26.4,9,2,C,BCD,5,3
23.9,9,3,D,BCD,5,3
21.8,10,1,A,ABD,1,4
21.4,10,2,B,ABD,1,4
22.8,10,3,D,ABD,1,4
23.9,11,1,B,BDA,6,4
22,11,2,D,BDA,6,4
21,11,3,A,BDA,6,4
21.7,12,1,D,DAB,10,4
19.4,12,2,A,DAB,10,4
18.6,12,3,B,DAB,10,4
