production,subject,period,treatment,sequence,sequence index,block
38.7,1,1,A,ABDE,1,1
37.4,1,2,B,ABDE,1,1
34.3,1,3,D,ABDE,1,1
31.3,1,4,E,ABDE,1,1
48.9,2,1,B,BAED,3,1
46.9,2,2,A,BAED,3,1
42,2,3,E,BAED,3,1
39.6,2,4,D,BAED,3,1
34.6,3,1,E,EBDA,9,1
32.3,3,2,B,EBDA,9,1
28.5,3,3,D,EBDA,9,1
27.1,3,4,A,EBDA,9,1
35.2,4,1,D,DEAB,8,1
33.5,4,2,E,DEAB,8,1
28.4,4,3,A,DEAB,8,1
25.1,4,4,B,DEAB,8,1
32.9,5,1,D,DAFC,7,2
33.1,5,2,A,DAFC,7,2
27.5,5,3,F,DAFC,7,2
25.1,5,4,C,DAFC,7,2
30.4,6,1,F,FDCA,12,2
29.5,6,2,D,FDCA,12,2
26.7,6,3,C,FDCA,12,2
23.1,6,4,A,FDCA,12,2
30.8,7,1,C,CFAD,6,2
29.3,7,2,F,CFAD,6,2
26.4,7,3,A,CFAD,6,2
23.2,7,4,D,CFAD,6,2
25.7,8,1,A,ACDF,2,2
26.1,8,2,C,ACDF,2,2
23.4,8,3,D,ACDF,2,2
18.7,8,4,F,ACDF,2,2
25.4,9,1,E,EFBC,10,3
26,9,2,F,EFBC,10,3
23.9,9,3,B,EFBC,10,3
19.9,9,4,C,EFBC,10,3
21.8,10,1,B,BECF,4,3
23.9,10,2,E,BECF,4,3
21.7,10,3,C,BECF,4,3
17.6,10,4,F,BECF,4,3
21.4,11,1,F,FCEB,11,3
22,11,2,C,FCEB,11,3
19.4,11,3,E,FCEB,11,3
16.6,11,4,B,FCEB,11,3
22.8,12,1,C,CBFE,5,3
21,12,2,B,CBFE,5,3
18.6,12,3,F,CBFE,5,3
16.1,12,4,E,CBFE,5,3
