perceived speed,period,treatment,subject,sequence,sequence index,display,speed
2.356,1,1,1,1.28E+15,1,1,1
7.056,2,2,1,1.28E+15,1,1,2
8.021,3,8,1,1.28E+15,1,4,2
2.258,4,3,1,1.28E+15,1,2,1
2.869,5,7,1,1.28E+15,1,4,1
6.385,6,4,1,1.28E+15,1,2,2
7.007,7,6,1,1.28E+15,1,3,2
2.954,8,5,1,1.28E+15,1,3,1
4.138,9,1,1,1.28E+15,1,1,1
7.581,10,2,1,1.28E+15,1,1,2
9.681,11,8,1,1.28E+15,1,4,2
1.782,12,3,1,1.28E+15,1,2,1
2.71,13,7,1,1.28E+15,1,4,1
5.628,14,4,1,1.28E+15,1,2,2
5.518,15,6,1,1.28E+15,1,3,2
2.429,16,5,1,1.28E+15,1,3,1
1.99,1,2,2,2.31E+15,2,1,2
0.463,2,3,2,2.31E+15,2,2,1
0.573,3,1,2,2.31E+15,2,1,1
8.741,4,4,2,2.31E+15,2,2,2
15.712,5,8,2,2.31E+15,2,4,2
5.323,6,5,2,2.31E+15,2,3,1
3.687,7,7,2,2.31E+15,2,4,1
9.84,8,6,2,2.31E+15,2,3,2
6.409,9,2,2,2.31E+15,2,1,2
0.537,10,3,2,2.31E+15,2,2,1
2.795,11,1,2,2.31E+15,2,1,1
3.845,12,4,2,2.31E+15,2,2,2
9.535,13,8,2,2.31E+15,2,4,2
5.359,14,5,2,2.31E+15,2,3,1
4.602,15,7,2,2.31E+15,2,4,1
5.774,16,6,2,2.31E+15,2,3,2
0.097,1,3,3,3.43E+15,3,2,1
5.2,2,4,3,3.43E+15,3,2,2
6.275,3,2,3,3.43E+15,3,1,2
4.407,4,5,3,3.43E+15,3,3,1
2.405,5,1,3,3.43E+15,3,1,1
7.508,6,6,3,3.43E+15,3,3,2
2.099,7,8,3,3.43E+15,3,4,2
4.187,8,7,3,3.43E+15,3,4,1
1.001,9,3,3,3.43E+15,3,2,1
3.003,10,4,3,3.43E+15,3,2,2
6.91,11,2,3,3.43E+15,3,1,2
6.995,12,5,3,3.43E+15,3,3,1
5.909,13,1,3,3.43E+15,3,1,1
5.127,14,6,3,3.43E+15,3,3,2
4.956,15,8,3,3.43E+15,3,4,2
2.49,16,7,3,3.43E+15,3,4,1
1.562,1,4,4,4.54E+15,4,2,2
0.769,2,5,4,4.54E+15,4,3,1
1.538,3,3,4,4.54E+15,4,2,1
7.85,4,6,4,4.54E+15,4,3,2
13.136,5,2,4,4.54E+15,4,1,2
2.453,6,7,4,4.54E+15,4,4,1
2.222,7,1,4,4.54E+15,4,1,1
8.668,8,8,4,4.54E+15,4,4,2
2.881,9,4,4,4.54E+15,4,2,2
3.259,10,5,4,4.54E+15,4,3,1
1.99,11,3,4,4.54E+15,4,2,1
7.459,12,6,4,4.54E+15,4,3,2
8.143,13,2,4,4.54E+15,4,1,2
2.453,14,7,4,4.54E+15,4,4,1
5.115,15,1,4,4.54E+15,4,1,1
9.498,16,8,4,4.54E+15,4,4,2
1.428,1,5,5,5.65E+15,5,3,1
3.442,2,6,5,5.65E+15,5,3,2
0.671,3,4,5,5.65E+15,5,2,2
0.744,4,7,5,5.65E+15,5,4,1
0.219,5,3,5,5.65E+15,5,2,1
3.467,6,8,5,5.65E+15,5,4,2
3.076,7,2,5,5.65E+15,5,1,2
0.952,8,1,5,5.65E+15,5,1,1
0.598,9,5,5,5.65E+15,5,3,1
2.112,10,6,5,5.65E+15,5,3,2
1.111,11,4,5,5.65E+15,5,2,2
0.512,12,7,5,5.65E+15,5,4,1
0.695,13,3,5,5.65E+15,5,2,1
1.99,14,8,5,5.65E+15,5,4,2
4.224,15,2,5,5.65E+15,5,1,2
0.976,16,1,5,5.65E+15,5,1,1
3.796,1,6,6,6.76E+15,6,3,2
1.208,2,7,6,6.76E+15,6,4,1
2.124,3,5,6,6.76E+15,6,3,1
